Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
233,9,Oct 31 2020,12:00 PM,Sat,(5) Georgia,14,@,Kentucky,3,Kroger Field - Lexington Kentucky
234,9,Oct 31 2020,3:30 PM,Sat,(17) Indiana,37,@,Rutgers,21,
235,9,Oct 31 2020,12:00 PM,Sat,(23) Iowa State,52,@,Kansas,22,
236,9,Oct 31 2020,8:00 PM,Sat,Louisiana,44,@,Texas State,34,
237,9,Oct 31 2020,3:30 PM,Sat,Louisiana Tech,37,,Alabama-Birmingham,34,
238,9,Oct 31 2020,12:00 PM,Sat,Michigan State,27,@,(13) Michigan,24,
239,9,Oct 31 2020,4:00 PM,Sat,Mississippi,54,@,Vanderbilt,21,
240,9,Oct 31 2020,10:30 PM,Sat,Nevada,37,@,Nevada-Las Vegas,19,
241,9,Oct 31 2020,3:30 PM,Sat,Northwestern,21,@,Iowa,20,
242,9,Oct 31 2020,3:30 PM,Sat,(4) Notre Dame,31,@,Georgia Tech,13,
243,9,Oct 31 2020,7:30 PM,Sat,(3) Ohio State,38,@,(18) Penn State,25,
244,9,Oct 31 2020,8:00 PM,Sat,(24) Oklahoma,62,@,Texas Tech,28,
245,9,Oct 31 2020,12:00 PM,Sat,Purdue,31,@,Illinois,24,
246,9,Oct 31 2020,3:00 PM,Sat,Rice,30,@,Southern Mississippi,6,
247,9,Oct 31 2020,9:30 PM,Sat,San Diego State,38,@,Utah State,7,
248,9,Oct 31 2020,12:00 PM,Sat,San Jose State,38,,New Mexico,21,
249,9,Oct 31 2020,7:30 PM,Sat,(22) Southern Methodist,51,,Navy,37,
250,9,Oct 31 2020,4:00 PM,Sat,Texas,41,@,(6) Oklahoma State,34,
251,9,Oct 31 2020,7:30 PM,Sat,(8) Texas A&M,42,,Arkansas,31,
252,9,Oct 31 2020,3:30 PM,Sat,Texas Christian,33,@,Baylor,23,
253,9,Oct 31 2020,3:00 PM,Sat,Troy,38,@,Arkansas State,10,
254,9,Oct 31 2020,12:00 PM,Sat,Tulane,38,,Temple,3,
255,9,Oct 31 2020,8:00 PM,Sat,Virginia,44,,(15) North Carolina,41,
256,9,Oct 31 2020,4:00 PM,Sat,Virginia Tech,42,@,Louisville,35,
257,9,Oct 31 2020,12:00 PM,Sat,Wake Forest,38,@,Syracuse,14,
258,9,Oct 31 2020,12:00 PM,Sat,West Virginia,37,,(16) Kansas State,10,
259,10,Nov 4 2020,7:00 PM,Wed,Buffalo,49,@,Northern Illinois,30,
260,10,Nov 4 2020,7:00 PM,Wed,Central Michigan,30,,Ohio,27,
261,10,Nov 4 2020,6:00 PM,Wed,Kent State,27,,Eastern Michigan,23,
262,10,Nov 4 2020,7:00 PM,Wed,Miami (OH),38,,Ball State,31,
263,10,Nov 4 2020,8:00 PM,Wed,Toledo,38,,Bowling Green State,3,
264,10,Nov 4 2020,6:00 PM,Wed,Western Michigan,58,@,Akron,13,
265,10,Nov 5 2020,12:00 PM,Thu,Colorado State,34,,Wyoming,24,
266,10,Nov 5 2020,12:00 PM,Thu,Nevada,34,,Utah State,9,
267,10,Nov 6 2020,12:00 PM,Fri,(9) Brigham Young,51,@,(21) Boise State,17,
268,10,Nov 6 2020,7:30 PM,Fri,(11) Miami (FL),44,@,North Carolina State,41,
269,10,Nov 6 2020,12:00 PM,Fri,San Jose State,28,@,San Diego State,17,
270,10,Nov 7 2020,3:00 PM,Sat,Appalachian State,38,@,Texas State,17,
271,10,Nov 7 2020,7:30 PM,Sat,Arkansas,24,,Tennessee,13,
272,10,Nov 7 2020,2:00 PM,Sat,Boston College,16,@,Syracuse,13,
273,10,Nov 7 2020,3:30 PM,Sat,(6) Cincinnati,38,,Houston,10,
274,10,Nov 7 2020,8:00 PM,Sat,(15) Coastal Carolina,23,,South Alabama,6,
275,10,Nov 7 2020,7:00 PM,Sat,Colorado,48,,UCLA,42,
276,10,Nov 7 2020,3:30 PM,Sat,(8) Florida,44,N,(5) Georgia,28,TIAA Bank Field - Jacksonville Florida
277,10,Nov 7 2020,6:00 PM,Sat,Florida Atlantic,10,,Western Kentucky,6,
278,10,Nov 7 2020,3:30 PM,Sat,Fresno State,40,@,Nevada-Las Vegas,27,
279,10,Nov 7 2020,1:00 PM,Sat,Georgia Southern,20,,Troy,13,
280,10,Nov 7 2020,12:00 PM,Sat,Georgia State,52,,Louisiana-Monroe,34,
281,10,Nov 7 2020,11:00 PM,Sat,Hawaii,39,,New Mexico,33,
